Namespace(att_dim=50, att_head_num=2, att_layer_num=1, batch_size=128, cpnet_vocab_path='./data/ddb/vocab.txt', cuda=True, dataset='medmcqa', debug=False, decoder_lr=0.001, dev_adj='./data/medmcqa/graph/dev.graph.adj.pk', dev_embs='./data/medmcqa/features/dev.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', dev_statements='./data/medmcqa/statement/dev.statement.jsonl', diag_decompose=True, dropoutf=0.2, dropoutg=0.1, dropouti=0.1, encoder='./LM_models/cambridgeltl--SapBERT-from-PubMedBERT-fulltext', encoder_layer=-1, encoder_lr=5e-05, ent_emb=['ddb'], ent_emb_paths=['./data/ddb/ent_emb.npy'], eps=1e-15, eval_batch_size=4, fc_dim=200, fc_layer_num=0, fix_trans=False, format=[], freeze_ent_emb=True, gamma=1.0, gnn_dim=100, gnn_layer_num=4, inhouse=False, inhouse_train_qids='./data/medmcqa/inhouse_split_qids.txt', init_identity=True, init_range=0.02, init_rn=True, log_interval=20, loss='cross_entropy', lr_schedule='fixed', max_epochs_before_stop=10, max_grad_norm=1.0, max_node_num=200, max_seq_len=128, mini_batch_size=2, mode='train', n_epochs=100, num_basis=0, num_relation=30, optim='radam', preds_dir='./preds_res/medmcqa/drlk__ds_medmcqa__enc_cambridgeltl--SapBERT-from-PubMedBERT-fulltext__gnn_4__sd_0__20220814_105350/', refreeze_epoch=10000, save_dir='./saved_models/medmcqa/drlk__ds_medmcqa__enc_cambridgeltl--SapBERT-from-PubMedBERT-fulltext__gnn_4__sd_0__20220814_105350/', seed=0, simple=False, subsample=1.0, test_adj='./data/medmcqa/graph/test.graph.adj.pk', test_embs='./data/medmcqa/features/test.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', test_statements='./data/medmcqa/statement/test.statement.jsonl', train_adj='./data/medmcqa/graph/train.graph.adj.pk', train_embs='./data/medmcqa/features/train.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', train_statements='./data/medmcqa/statement/train.statement.jsonl', unfreeze_epoch=0, use_contextualized=False, warmup_steps=50, weight_decay=0.01)
| num_concepts: 9958 |
loading adj matrices:  65%|██████▍   | 473562/731288 [01:26<00:45, 5663.39it/s]
loading adj matrices:  65%|██████▍   | 474144/731288 [01:26<00:45, 5708.07it/s]
loading adj matrices:  65%|██████▍   | 474715/731288 [01:26<00:44, 5703.75it/s]
loading adj matrices:  65%|██████▍   | 475286/731288 [01:27<00:44, 5689.02it/s]
loading adj matrices:  65%|██████▌   | 475855/731288 [01:27<00:45, 5676.18it/s]
loading adj matrices:  65%|██████▌   | 476433/731288 [01:27<00:44, 5705.95it/s]
loading adj matrices:  65%|██████▌   | 477009/731288 [01:27<00:44, 5719.50it/s]
loading adj matrices:  65%|██████▌   | 477581/731288 [01:27<00:44, 5697.35it/s]
loading adj matrices:  65%|██████▌   | 478156/731288 [01:27<00:44, 5712.85it/s]
loading adj matrices:  65%|██████▌   | 478729/731288 [01:27<00:44, 5716.79it/s]
loading adj matrices:  66%|██████▌   | 479301/731288 [01:27<00:44, 5705.41it/s]
loading adj matrices:  66%|██████▌   | 479872/731288 [01:27<00:44, 5656.95it/s]
loading adj matrices:  66%|██████▌   | 480442/731288 [01:27<00:44, 5667.89it/s]
loading adj matrices:  66%|██████▌   | 481010/731288 [01:28<00:44, 5669.68it/s]
loading adj matrices:  66%|██████▌   | 481583/731288 [01:28<00:43, 5687.22it/s]
loading adj matrices:  66%|██████▌   | 482154/731288 [01:28<00:43, 5692.63it/s]
loading adj matrices:  66%|██████▌   | 482726/731288 [01:28<00:43, 5700.05it/s]
loading adj matrices:  66%|██████▌   | 483297/731288 [01:28<00:43, 5668.11it/s]
loading adj matrices:  66%|██████▌   | 483864/731288 [01:28<00:43, 5666.04it/s]
loading adj matrices:  66%|██████▌   | 484438/731288 [01:28<00:43, 5687.06it/s]
loading adj matrices:  66%|██████▋   | 485010/731288 [01:28<00:43, 5695.00it/s]
loading adj matrices:  66%|██████▋   | 485581/731288 [01:28<00:43, 5698.43it/s]
loading adj matrices:  66%|██████▋   | 486151/731288 [01:28<00:43, 5670.30it/s]
loading adj matrices:  67%|██████▋   | 486719/731288 [01:29<00:43, 5671.98it/s]
loading adj matrices:  67%|██████▋   | 487287/731288 [01:29<00:43, 5638.13it/s]
loading adj matrices:  67%|██████▋   | 487854/731288 [01:29<00:43, 5646.99it/s]
loading adj matrices:  67%|██████▋   | 488422/731288 [01:29<00:42, 5655.93it/s]
loading adj matrices:  67%|██████▋   | 488994/731288 [01:29<00:42, 5674.12it/s]
loading adj matrices:  67%|██████▋   | 489570/731288 [01:29<00:42, 5699.12it/s]
loading adj matrices:  67%|██████▋   | 490140/731288 [01:29<00:42, 5695.79it/s]
loading adj matrices:  67%|██████▋   | 490710/731288 [01:29<00:42, 5672.82it/s]
loading adj matrices:  67%|██████▋   | 491280/731288 [01:29<00:42, 5679.41it/s]
loading adj matrices:  67%|██████▋   | 491851/731288 [01:29<00:42, 5687.54it/s]
loading adj matrices:  67%|██████▋   | 492420/731288 [01:30<00:42, 5684.93it/s]
loading adj matrices:  67%|██████▋   | 492989/731288 [01:30<00:41, 5685.91it/s]
loading adj matrices:  67%|██████▋   | 493558/731288 [01:30<00:41, 5675.36it/s]
loading adj matrices:  68%|██████▊   | 494127/731288 [01:30<00:41, 5677.41it/s]
loading adj matrices:  68%|██████▊   | 494695/731288 [01:30<00:41, 5670.58it/s]
loading adj matrices:  68%|██████▊   | 495263/731288 [01:30<00:41, 5646.43it/s]
loading adj matrices:  68%|██████▊   | 495832/731288 [01:30<00:41, 5658.00it/s]
loading adj matrices:  68%|██████▊   | 496401/731288 [01:30<00:41, 5665.56it/s]
loading adj matrices:  68%|██████▊   | 496969/731288 [01:30<00:41, 5668.31it/s]
loading adj matrices:  68%|██████▊   | 497549/731288 [01:30<00:40, 5707.43it/s]
loading adj matrices:  68%|██████▊   | 498120/731288 [01:31<00:40, 5701.13it/s]
loading adj matrices:  68%|██████▊   | 498691/731288 [01:31<00:40, 5676.46it/s]
loading adj matrices:  68%|██████▊   | 499265/731288 [01:31<00:40, 5692.74it/s]
loading adj matrices:  68%|██████▊   | 499836/731288 [01:31<00:40, 5697.01it/s]
loading adj matrices:  68%|██████▊   | 500406/731288 [01:31<00:40, 5682.61it/s]
loading adj matrices:  69%|██████▊   | 500975/731288 [01:31<00:40, 5654.84it/s]
loading adj matrices:  69%|██████▊   | 501550/731288 [01:31<00:40, 5682.51it/s]
loading adj matrices:  69%|██████▊   | 502119/731288 [01:31<00:40, 5678.38it/s]
loading adj matrices:  69%|██████▊   | 502689/731288 [01:31<00:40, 5683.23it/s]
loading adj matrices:  69%|██████▉   | 503258/731288 [01:31<00:40, 5682.35it/s]
loading adj matrices:  69%|██████▉   | 503832/731288 [01:32<00:39, 5697.01it/s]
loading adj matrices:  69%|██████▉   | 504402/731288 [01:32<00:39, 5676.97it/s]
loading adj matrices:  69%|██████▉   | 504970/731288 [01:32<00:40, 5652.64it/s]
loading adj matrices:  69%|██████▉   | 505541/731288 [01:32<00:39, 5669.12it/s]
loading adj matrices:  69%|██████▉   | 506124/731288 [01:32<00:39, 5714.50it/s]
loading adj matrices:  69%|██████▉   | 506696/731288 [01:32<00:39, 5678.62it/s]
loading adj matrices:  69%|██████▉   | 507264/731288 [01:34<03:34, 1042.73it/s]
loading adj matrices:  69%|██████▉   | 507833/731288 [01:34<02:41, 1379.51it/s]
loading adj matrices:  70%|██████▉   | 508400/731288 [01:34<02:05, 1782.00it/s]
loading adj matrices:  70%|██████▉   | 508968/731288 [01:34<01:39, 2242.39it/s]
loading adj matrices:  70%|██████▉   | 509540/731288 [01:34<01:20, 2743.96it/s]
loading adj matrices:  70%|██████▉   | 510104/731288 [01:34<01:08, 3238.98it/s]
loading adj matrices:  70%|██████▉   | 510670/731288 [01:34<00:59, 3713.02it/s]
loading adj matrices:  70%|██████▉   | 511234/731288 [01:34<00:53, 4134.71it/s]
loading adj matrices:  70%|██████▉   | 511790/731288 [01:34<00:49, 4472.70it/s]
loading adj matrices:  70%|███████   | 512356/731288 [01:35<00:45, 4773.41it/s]
loading adj matrices:  70%|███████   | 512922/731288 [01:35<00:43, 5007.56it/s]
loading adj matrices:  70%|███████   | 513489/731288 [01:35<00:41, 5189.81it/s]
loading adj matrices:  70%|███████   | 514059/731288 [01:35<00:40, 5332.82it/s]
loading adj matrices:  70%|███████   | 514624/731288 [01:35<00:39, 5421.02it/s]
loading adj matrices:  70%|███████   | 515200/731288 [01:35<00:39, 5518.62it/s]
loading adj matrices:  71%|███████   | 515768/731288 [01:35<00:39, 5524.75it/s]
loading adj matrices:  71%|███████   | 516333/731288 [01:35<00:38, 5561.37it/s]
loading adj matrices:  71%|███████   | 516905/731288 [01:35<00:38, 5607.22it/s]
loading adj matrices:  71%|███████   | 517472/731288 [01:35<00:38, 5625.06it/s]
loading adj matrices:  71%|███████   | 518040/731288 [01:36<00:37, 5639.61it/s]
loading adj matrices:  71%|███████   | 518608/731288 [01:36<00:37, 5650.40it/s]
loading adj matrices:  71%|███████   | 519175/731288 [01:36<00:37, 5648.52it/s]
loading adj matrices:  71%|███████   | 519745/731288 [01:36<00:37, 5660.93it/s]
loading adj matrices:  71%|███████   | 520314/731288 [01:36<00:37, 5666.95it/s]
loading adj matrices:  71%|███████   | 520882/731288 [01:36<00:37, 5658.67it/s]
loading adj matrices:  71%|███████▏  | 521449/731288 [01:36<00:37, 5661.74it/s]
loading adj matrices:  71%|███████▏  | 522016/731288 [01:36<00:37, 5636.79it/s]
loading adj matrices:  71%|███████▏  | 522589/731288 [01:36<00:36, 5661.88it/s]
loading adj matrices:  72%|███████▏  | 523157/731288 [01:36<00:36, 5666.77it/s]
loading adj matrices:  72%|███████▏  | 523729/731288 [01:37<00:36, 5681.05it/s]
loading adj matrices:  72%|███████▏  | 524298/731288 [01:37<00:36, 5681.13it/s]
loading adj matrices:  72%|███████▏  | 524867/731288 [01:37<00:36, 5675.99it/s]
loading adj matrices:  72%|███████▏  | 525438/731288 [01:37<00:36, 5684.73it/s]
loading adj matrices:  72%|███████▏  | 526007/731288 [01:37<00:36, 5682.36it/s]
loading adj matrices:  72%|███████▏  | 526576/731288 [01:37<00:36, 5665.74it/s]
loading adj matrices:  72%|███████▏  | 527143/731288 [01:37<00:36, 5650.33it/s]
loading adj matrices:  72%|███████▏  | 527714/731288 [01:37<00:35, 5666.73it/s]
loading adj matrices:  72%|███████▏  | 528281/731288 [01:37<00:35, 5648.85it/s]
loading adj matrices:  72%|███████▏  | 528852/731288 [01:37<00:35, 5666.92it/s]
loading adj matrices:  72%|███████▏  | 529429/731288 [01:38<00:35, 5697.00it/s]
loading adj matrices:  72%|███████▏  | 529999/731288 [01:38<00:35, 5690.90it/s]
loading adj matrices:  73%|███████▎  | 530569/731288 [01:38<00:35, 5693.13it/s]
loading adj matrices:  73%|███████▎  | 531139/731288 [01:38<00:35, 5686.49it/s]
loading adj matrices:  73%|███████▎  | 531708/731288 [01:38<00:35, 5685.19it/s]
loading adj matrices:  73%|███████▎  | 532277/731288 [01:38<00:35, 5681.21it/s]
loading adj matrices:  73%|███████▎  | 532846/731288 [01:38<00:34, 5683.41it/s]
loading adj matrices:  73%|███████▎  | 533415/731288 [01:38<00:34, 5675.69it/s]
loading adj matrices:  73%|███████▎  | 533993/731288 [01:38<00:34, 5706.00it/s]
loading adj matrices:  73%|███████▎  | 534564/731288 [01:38<00:34, 5683.29it/s]
loading adj matrices:  73%|███████▎  | 535133/731288 [01:39<00:34, 5679.57it/s]
loading adj matrices:  73%|███████▎  | 535701/731288 [01:39<00:34, 5670.48it/s]
loading adj matrices:  73%|███████▎  | 536269/731288 [01:39<00:34, 5666.56it/s]
loading adj matrices:  73%|███████▎  | 536836/731288 [01:39<00:34, 5653.21it/s]
loading adj matrices:  73%|███████▎  | 537402/731288 [01:39<00:34, 5648.43it/s]
loading adj matrices:  74%|███████▎  | 537971/731288 [01:39<00:34, 5659.68it/s]
loading adj matrices:  74%|███████▎  | 538540/731288 [01:39<00:34, 5666.26it/s]
loading adj matrices:  74%|███████▎  | 539107/731288 [01:39<00:33, 5663.55it/s]
loading adj matrices:  74%|███████▍  | 539674/731288 [01:39<00:33, 5658.17it/s]
loading adj matrices:  74%|███████▍  | 540240/731288 [01:39<00:33, 5657.55it/s]
loading adj matrices:  74%|███████▍  | 540806/731288 [01:40<00:33, 5657.78it/s]
loading adj matrices:  74%|███████▍  | 541372/731288 [01:40<00:33, 5654.87it/s]
loading adj matrices:  74%|███████▍  | 541943/731288 [01:40<00:33, 5669.64it/s]
loading adj matrices:  74%|███████▍  | 542517/731288 [01:40<00:33, 5690.35it/s]
loading adj matrices:  74%|███████▍  | 543087/731288 [01:40<00:33, 5657.11it/s]
loading adj matrices:  74%|███████▍  | 543655/731288 [01:40<00:33, 5662.04it/s]
loading adj matrices:  74%|███████▍  | 544222/731288 [01:40<00:33, 5663.72it/s]
loading adj matrices:  74%|███████▍  | 544789/731288 [01:40<00:32, 5658.72it/s]
loading adj matrices:  75%|███████▍  | 545355/731288 [01:40<00:32, 5650.06it/s]
loading adj matrices:  75%|███████▍  | 545921/731288 [01:40<00:32, 5640.47it/s]
loading adj matrices:  75%|███████▍  | 546492/731288 [01:41<00:32, 5660.01it/s]
loading adj matrices:  75%|███████▍  | 547061/731288 [01:41<00:32, 5666.54it/s]
loading adj matrices:  75%|███████▍  | 547632/731288 [01:41<00:32, 5677.01it/s]
loading adj matrices:  75%|███████▍  | 548200/731288 [01:41<00:32, 5675.45it/s]
loading adj matrices:  75%|███████▌  | 548777/731288 [01:41<00:32, 5703.21it/s]
loading adj matrices:  75%|███████▌  | 549348/731288 [01:41<00:32, 5675.03it/s]
loading adj matrices:  75%|███████▌  | 549917/731288 [01:41<00:31, 5678.97it/s]
loading adj matrices:  75%|███████▌  | 550492/731288 [01:41<00:31, 5697.94it/s]
loading adj matrices:  75%|███████▌  | 551062/731288 [01:41<00:31, 5673.09it/s]
loading adj matrices:  75%|███████▌  | 551630/731288 [01:41<00:31, 5644.56it/s]
loading adj matrices:  76%|███████▌  | 552208/731288 [01:42<00:31, 5683.71it/s]
loading adj matrices:  76%|███████▌  | 552778/731288 [01:42<00:31, 5686.13it/s]
loading adj matrices:  76%|███████▌  | 553352/731288 [01:42<00:31, 5701.17it/s]
loading adj matrices:  76%|███████▌  | 553930/731288 [01:42<00:30, 5722.57it/s]
loading adj matrices:  76%|███████▌  | 554503/731288 [01:42<00:30, 5715.90it/s]
loading adj matrices:  76%|███████▌  | 555079/731288 [01:42<00:30, 5727.54it/s]
loading adj matrices:  76%|███████▌  | 555652/731288 [01:42<00:30, 5710.51it/s]
loading adj matrices:  76%|███████▌  | 556224/731288 [01:42<00:30, 5688.71it/s]
loading adj matrices:  76%|███████▌  | 556793/731288 [01:42<00:30, 5684.79it/s]
loading adj matrices:  76%|███████▌  | 557362/731288 [01:42<00:30, 5669.72it/s]
loading adj matrices:  76%|███████▋  | 557929/731288 [01:43<00:30, 5640.90it/s]
loading adj matrices:  76%|███████▋  | 558494/731288 [01:43<00:30, 5626.64it/s]
loading adj matrices:  76%|███████▋  | 559059/731288 [01:43<00:30, 5633.48it/s]
loading adj matrices:  77%|███████▋  | 559632/731288 [01:43<00:30, 5661.33it/s]
loading adj matrices:  77%|███████▋  | 560200/731288 [01:43<00:30, 5666.34it/s]
loading adj matrices:  77%|███████▋  | 560770/731288 [01:43<00:30, 5676.18it/s]
loading adj matrices:  77%|███████▋  | 561338/731288 [01:43<00:30, 5647.47it/s]
loading adj matrices:  77%|███████▋  | 561916/731288 [01:43<00:29, 5685.45it/s]
loading adj matrices:  77%|███████▋  | 562485/731288 [01:43<00:29, 5686.06it/s]
loading adj matrices:  77%|███████▋  | 563057/731288 [01:43<00:29, 5693.46it/s]
loading adj matrices:  77%|███████▋  | 563627/731288 [01:44<00:29, 5673.20it/s]
loading adj matrices:  77%|███████▋  | 564196/731288 [01:44<00:29, 5676.81it/s]
loading adj matrices:  77%|███████▋  | 564765/731288 [01:44<00:29, 5678.32it/s]
loading adj matrices:  77%|███████▋  | 565333/731288 [01:44<00:29, 5664.49it/s]
loading adj matrices:  77%|███████▋  | 565902/731288 [01:44<00:29, 5669.51it/s]
loading adj matrices:  77%|███████▋  | 566486/731288 [01:44<00:28, 5717.62it/s]
loading adj matrices:  78%|███████▊  | 567058/731288 [01:44<00:28, 5694.77it/s]
loading adj matrices:  78%|███████▊  | 567628/731288 [01:44<00:28, 5693.51it/s]
loading adj matrices:  78%|███████▊  | 568198/731288 [01:44<00:28, 5677.85it/s]
loading adj matrices:  78%|███████▊  | 568766/731288 [01:44<00:28, 5668.95it/s]
loading adj matrices:  78%|███████▊  | 569343/731288 [01:45<00:28, 5696.45it/s]
loading adj matrices:  78%|███████▊  | 569920/731288 [01:45<00:28, 5716.41it/s]
loading adj matrices:  78%|███████▊  | 570492/731288 [01:45<00:28, 5699.27it/s]
loading adj matrices:  78%|███████▊  | 571062/731288 [01:45<00:28, 5688.04it/s]
loading adj matrices:  78%|███████▊  | 571631/731288 [01:45<00:28, 5686.12it/s]
loading adj matrices:  78%|███████▊  | 572200/731288 [01:45<00:28, 5654.64it/s]
loading adj matrices:  78%|███████▊  | 572771/731288 [01:45<00:27, 5669.34it/s]
loading adj matrices:  78%|███████▊  | 573344/731288 [01:45<00:27, 5684.40it/s]
loading adj matrices:  78%|███████▊  | 573913/731288 [01:45<00:27, 5660.68it/s]
loading adj matrices:  79%|███████▊  | 574480/731288 [01:46<00:27, 5648.28it/s]
loading adj matrices:  79%|███████▊  | 575058/731288 [01:46<00:27, 5686.29it/s]
loading adj matrices:  79%|███████▊  | 575627/731288 [01:46<00:27, 5684.79it/s]
loading adj matrices:  79%|███████▉  | 576201/731288 [01:46<00:27, 5699.39it/s]
loading adj matrices:  79%|███████▉  | 576771/731288 [01:46<00:27, 5668.64it/s]
loading adj matrices:  79%|███████▉  | 577338/731288 [01:46<00:27, 5646.87it/s]
loading adj matrices:  79%|███████▉  | 577904/731288 [01:46<00:27, 5647.84it/s]
loading adj matrices:  79%|███████▉  | 578480/731288 [01:46<00:26, 5680.50it/s]
loading adj matrices:  79%|███████▉  | 579050/731288 [01:46<00:26, 5685.05it/s]
loading adj matrices:  79%|███████▉  | 579620/731288 [01:46<00:26, 5689.17it/s]
loading adj matrices:  79%|███████▉  | 580189/731288 [01:47<00:26, 5656.40it/s]
